ID,NAMT,Longitude,Latitude
1,สวนสมุนไพรสิรีรุกขชาติ,100.3169898,13.7891787
2,คณะวิทยาศาสตร์ มหาวิทยาลัยมหิดล วิทยาเขตศาลายา,100.3223231,13.7923165
3,สำนักงานอธิการบดี มหาวิทยาลัยมหิดล,100.3256875,13.79472942
4,วิทยาลัยดุริยางคศิลป์,100.3246166,13.78880137
5,วิทยาลัยราชสุดา มหาวิทยาลัยมหิดล,100.3255917,13.78683775
6,คณะศิลปศาสตร์ มหาวิทยาลัยมหิดล วิทยาเขตศาลายา,100.323334,13.79232916
7,มหาวิทยาลัยมหิดล วิทยาเขตศาลายา,100.325605,13.79439267
8,วิทยาลัยนานาชาติมหาวิทยาลัยมหิดล,100.3263303,13.79278122
9,คณะเทคนิคการแพทย์ มหาวิทยาลัยมหิดล วิทยาเขตศาลายา,100.3229688,13.79885185
10,คณะวิศวกรรมศาสตร์ มหาวิทยาลัยมหิดล วิทยาเขตศาลายา,100.3240265,13.79587853
11,สถาบันวิจัยโภชนาการ มหาวิทยาลัยมหิดล วิทยาเขตศาลายา,100.3223172,13.79610881
12,วัดหทัยนเรศวร์,100.3141985,13.78767873
13,คณะสังคมศาสตร์และมนุษยศาสตร์ มหาวิทยาลัยมหิดล วิทยาเขตศาลายา,100.3247986,13.79264195
14,คณะสัตวแพทย์ศาสตร์ มหาวิทยาลัยมหิดล วิทยาเขตศาลายา,100.3177589,13.79813899
15,วิทยาลัยวิทยาศาสตร์และเทคโนโลยีการกีฬา,100.3212547,13.79620186
16,สำนักงานเกษตรอำเภอพุทธมณฑล,100.3205972,13.80210138
17,ที่ว่าการอำเภอพุทธมณฑล,100.3212735,13.80186032
18,สำนักงานสาธารณสุขอำเภอพุทธมณฑล,100.3216041,13.80198047
19,สถานีรถไฟศาลายา,100.3243317,13.80265464
20,สถาบันวิจัยและพัฒนาวิทยาศาสตร์และเทคโนโลยี มหาวิทยาลัยมหิดล,100.3260876,13.79739824
21,โรงเรียนมหิดลวิทยานุสรณ์,100.3185795,13.80027421
22,ศูนย์ปฏิบัติการโรงแรม,100.3259978,13.79285555
23,สถานีตำรวจภูธรพุทธมณฑล,100.3205419,13.80169999
24,ห้างหุ้นส่วนจำกัดเจียบฮะทูสตาร์,100.3300634,13.79770008
25,ที่ทำการกำนันตำบลศาลายา,100.3252447,13.80134345
26,ที่ทำการผู้ใหญ่บ้านหมู่ที่ 6,100.3282213,13.79052258
27,ชุมชนโพธิ์ทอง,100.3249342,13.80447671
28,ชุมชนตลาดเก่าศาลายา,100.3241835,13.80335512
29,ห้างหุ้นส่วนจำกัดยูไนเต็ดแฟชั่นแอนด์เอ๊าท์เลท,100.330337,13.79733075
30,หมู่บ้านมัณฑนา,100.3304438,13.79558371
31,ประตูระบายน้ำคลองทวีวัฒนา,100.3296792,13.80045161
32,สวนอาหารสายลมสายน้ำ,100.3301754,13.80063289
33,หน่วยบริการประชาชน,100.3276221,13.79418518
34,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสาลวัน,100.3221402,13.80159602
35,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอพุทธมณฑล,100.3219969,13.80157413
36,ตำรวจทางหลวง,100.3273879,13.78799586
37,สำนักงานเทศบาลตำบลศาลายา,100.3207951,13.80232944
38,ห้องสมุดประชาชนอำเภอพุทธมณฑล,100.3219122,13.80157531
39,อิน-เอ็น-เอ้าท์,100.3300274,13.79882075
40,ชุมชนคุณหลวง,100.3256944,13.80293847
41,ชุมชนหน้าสถานีรถไฟ,100.3268463,13.80179144
42,วีแรนด้าเดอลอดจ์,100.3284409,13.79606845
43,เดอะปาล์มรีสอร์ท,100.3280071,13.80052465
44,ร้านดาบอ๋า-ป้าอ้อย,100.3300999,13.79852017
45,ลานวัฒนธรรม,100.3175494,13.80133959
46,อาคารหอประชุมอำเภอพุทธมณฑล,100.3213717,13.80215708
47,สำนักงานปศุสัตว์อำเภอพุทธมณฑล,100.3220073,13.80180815
